case_id,family,n,seed,oracle_valid,oracle_reason,distinct_values,upper_ok,lower_ok,algorithm,run_index,time_ns,sorted_correct,error
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,quick_sort,2,3958,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,quick_sort,3,3875,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,quick_sort,4,3750,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,quick_sort,5,3791,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,1,11917,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,2,10708,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,3,10500,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,4,10417,True,
flat_valid_n16_003,flat_valid,16,,True,,True,True,True,sort_plus_laminarity_check,5,10458,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,python_sort,1,417,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,python_sort,2,250,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,python_sort,3,167,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,python_sort,4,250,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,python_sort,5,208,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,merge_sort,1,17542,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,merge_sort,2,16542,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,merge_sort,3,16042,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,merge_sort,4,16042,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,merge_sort,5,16166,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,quick_sort,1,9541,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,quick_sort,2,8667,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,quick_sort,3,8250,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,quick_sort,4,8083,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,quick_sort,5,8084,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,1,32209,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,2,30541,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,3,30083,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,4,30042,True,
flat_valid_n32_001,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,5,30042,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,python_sort,1,334,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,python_sort,2,250,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,python_sort,3,291,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,python_sort,4,250,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,python_sort,5,209,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,merge_sort,1,17458,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,merge_sort,2,16500,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,merge_sort,3,16166,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,merge_sort,4,16041,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,merge_sort,5,16166,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,quick_sort,1,8500,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,quick_sort,2,8125,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,quick_sort,3,8125,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,quick_sort,4,8042,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,quick_sort,5,8042,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,1,31875,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,2,30416,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,3,30208,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,4,30041,True,
flat_valid_n32_002,flat_valid,32,,True,,True,True,True,sort_plus_laminarity_check,5,30083,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,python_sort,1,333,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,python_sort,2,292,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,python_sort,3,250,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,python_sort,4,250,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,python_sort,5,250,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,merge_sort,1,17334,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,merge_sort,2,16625,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,merge_sort,3,16291,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,merge_sort,4,16166,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,merge_sort,5,16291,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,quick_sort,1,8208,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,quick_sort,2,8083,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,quick_sort,3,8083,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,quick_sort,4,8000,True,
flat_valid_n32_003,flat_valid,32,,True,,True,True,True,quick_sort,5,8041,True,
