case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,relative_iqr,mean_time_ns,stdev_time_ns
nested_valid_n256_001,nested_valid,256,python_sort,20,4916.0,4541.5,5271.0,729.5,0.14839300244100895,4945.8,660.9116192207946
nested_valid_n256_001,nested_valid,256,simplified_jordan_reference,20,8507291.5,8480562.5,8535125.0,54562.5,0.006413615896434253,8518068.7,58391.250551413046
nested_valid_n256_001,nested_valid,256,simplified_jordan_paper_ordinary_list,20,6183083.5,6150979.0,6202166.5,51187.5,0.008278636379405195,6189945.9,60867.077072567685
flat_valid_n512_001,flat_valid,512,python_sort,20,1250.0,1166.5,1333.5,167.0,0.1336,1245.85,112.23203173501058
flat_valid_n512_001,flat_valid,512,simplified_jordan_reference,20,28821146.0,28771291.5,28858375.0,87083.5,0.003021514134101399,28813104.05,77831.08470099984
flat_valid_n512_001,flat_valid,512,simplified_jordan_paper_ordinary_list,20,8109708.5,8059145.5,8152646.5,93501.0,0.011529514285254519,8110514.65,64490.38227949392
incremental_valid_n512_001,incremental_valid,512,python_sort,20,10333.5,10000.5,12604.5,2604.0,0.2519959355494266,11416.8,1945.2521849770262
incremental_valid_n512_001,incremental_valid,512,simplified_jordan_reference,20,32743625.0,32661208.0,32825479.5,164271.5,0.005016900236305541,32761937.5,118302.53352338923
incremental_valid_n512_001,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,18267146.0,18114125.0,18373875.0,259750.0,0.014219517378357846,18241812.55,213963.49956906078
incremental_valid_n512_002,incremental_valid,512,python_sort,20,10479.5,10375.0,12167.0,1792.0,0.1710005248342001,11283.3,1514.7296823282745
incremental_valid_n512_002,incremental_valid,512,simplified_jordan_reference,20,33411687.5,33305187.5,33484541.5,179354.0,0.005368001840673268,33405318.7,117989.0525475273
incremental_valid_n512_002,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,19855333.5,19653166.5,20028271.0,375104.5,0.01889187607954306,19855068.85,192891.10432962593
incremental_valid_n512_003,incremental_valid,512,python_sort,20,10583.5,10416.0,10958.5,542.5,0.05125903529078282,10891.7,902.0001808845658
incremental_valid_n512_003,incremental_valid,512,simplified_jordan_reference,20,32897396.0,32818979.0,32943791.5,124812.5,0.003793993299652045,32883252.05,100638.550953125
incremental_valid_n512_003,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,18256333.0,18111167.0,18339437.5,228270.5,0.012503633670573383,18217766.75,161017.31808227304
incremental_valid_n512_004,incremental_valid,512,python_sort,20,10792.0,10520.5,11584.0,1063.5,0.09854521868050407,11047.95,645.3241922924436
incremental_valid_n512_004,incremental_valid,512,simplified_jordan_reference,20,32960166.5,32916916.5,33017771.5,100855.0,0.0030599056591537545,33030604.25,350591.8152680325
incremental_valid_n512_004,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,18758708.0,18574458.5,18868645.5,294187.0,0.015682689873950807,18731818.65,148694.8384349196
incremental_valid_n512_005,incremental_valid,512,python_sort,20,10583.5,10271.0,10791.5,520.5,0.04918032786885246,11045.9,1528.8311978694533
incremental_valid_n512_005,incremental_valid,512,simplified_jordan_reference,20,33210292.0,33149750.0,33273562.0,123812.0,0.003728121390802586,33218220.9,100676.358982058
incremental_valid_n512_005,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,19158250.0,18970291.5,19218750.0,248458.5,0.012968747145485626,19092391.5,165311.55036141525
incremental_valid_n512_006,incremental_valid,512,python_sort,20,10583.0,10271.0,10792.0,521.0,0.04922989700463007,10610.5,425.3072573538979
incremental_valid_n512_006,incremental_valid,512,simplified_jordan_reference,20,33011645.5,32980292.0,33042354.0,62062.0,0.0018800032249225505,33016956.15,92886.05403355061
incremental_valid_n512_006,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,19395896.0,19330812.5,19476145.5,145333.0,0.007492976864796553,19395735.4,154912.8034311051
incremental_valid_n512_007,incremental_valid,512,python_sort,20,11187.5,10792.0,13104.5,2312.5,0.20670391061452514,11939.65,1581.500895219142
incremental_valid_n512_007,incremental_valid,512,simplified_jordan_reference,20,33076604.0,33017833.0,33170416.0,152583.0,0.004613018918145285,33094293.7,94805.53094852419
incremental_valid_n512_007,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,18674666.5,18548229.0,18787896.0,239667.0,0.012833803484522736,18670323.0,140387.12234727005
incremental_valid_n512_008,incremental_valid,512,python_sort,20,10646.0,10458.0,11020.5,562.5,0.05283674619575427,10933.3,859.8703757880572
incremental_valid_n512_008,incremental_valid,512,simplified_jordan_reference,20,33017271.0,32965937.5,33058875.0,92937.5,0.002814814707127067,33017266.65,71523.25090727306
incremental_valid_n512_008,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,18830874.5,18698271.0,18890083.0,191812.0,0.010186037828460915,18800247.8,137665.07058632135
incremental_valid_n512_009,incremental_valid,512,python_sort,20,11208.5,10542.0,11729.0,1187.0,0.10590177097738324,11531.35,1372.431122804385
incremental_valid_n512_009,incremental_valid,512,simplified_jordan_reference,20,32745104.5,32669063.0,32814395.5,145332.5,0.004438297028491694,32751456.25,111811.07432341066
incremental_valid_n512_009,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,18508917.0,18386833.0,18617937.5,231104.5,0.012486116826824606,18510995.85,133662.04370696898
incremental_valid_n512_010,incremental_valid,512,python_sort,20,10875.0,10687.0,11125.0,438.0,0.040275862068965516,11433.25,1609.0374656264141
incremental_valid_n512_010,incremental_valid,512,simplified_jordan_reference,20,33143020.5,33107812.5,33193812.5,86000.0,0.002594814796677931,33148810.45,71095.89639906681
incremental_valid_n512_010,incremental_valid,512,simplified_jordan_paper_ordinary_list,20,19113666.5,18967541.5,19180271.0,212729.5,0.011129706589784854,19098039.45,163782.77416346804
nested_valid_n512_001,nested_valid,512,python_sort,20,10021.0,9583.0,10292.0,709.0,0.07075142201377108,9970.95,571.5009301461326
nested_valid_n512_001,nested_valid,512,simplified_jordan_reference,20,34370625.0,34303104.5,34449083.0,145978.5,0.0042471878239048605,34381216.55,140967.79494341215
nested_valid_n512_001,nested_valid,512,simplified_jordan_paper_ordinary_list,20,18061416.5,17872792.0,18136979.0,264187.0,0.01462714732258126,18006877.15,162807.25979651522
