scope,family,n,comparison,case_count,median_ratio,q1_ratio,q3_ratio,iqr_ratio
family_size,flat_valid,64,paper/reference,1,1.6090245665646479,1.6090245665646479,1.6090245665646479,0.0
family_size,flat_valid,64,paper/python,1,2503.1276276276276,2503.1276276276276,2503.1276276276276,0.0
family_size,flat_valid,64,reference/python,1,1555.6801801801803,1555.6801801801803,1555.6801801801803,0.0
family_size,flat_valid,128,paper/reference,1,0.9190507331614909,0.9190507331614909,0.9190507331614909,0.0
family_size,flat_valid,128,paper/python,1,3462.792,3462.792,3462.792,0.0
family_size,flat_valid,128,reference/python,1,3767.792,3767.792,3767.792,0.0
family_size,flat_valid,256,paper/reference,1,0.5096972934267853,0.5096972934267853,0.5096972934267853,0.0
family_size,flat_valid,256,paper/python,1,5121.912491178547,5121.912491178547,5121.912491178547,0.0
family_size,flat_valid,256,reference/python,1,10048.930134086097,10048.930134086097,10048.930134086097,0.0
family_size,flat_valid,512,paper/reference,1,0.28138050096967,0.28138050096967,0.28138050096967,0.0
family_size,flat_valid,512,paper/python,1,6487.7668,6487.7668,6487.7668,0.0
family_size,flat_valid,512,reference/python,1,23056.9168,23056.9168,23056.9168,0.0
family_size,incremental_valid,32,paper/reference,10,3.281790364363333,3.1515062263963975,3.3306071885019843,0.1791009621055868
family_size,incremental_valid,32,paper/python,10,765.8742461754077,723.7149178255373,780.1573957016435,56.44247787610618
family_size,incremental_valid,32,reference/python,10,230.54775313182392,227.3748419721871,237.86133333333333,10.486491361146221
family_size,incremental_valid,64,paper/reference,10,2.2172581917714425,2.1549137949316086,2.2385346523207796,0.08362085738917102
family_size,incremental_valid,64,paper/python,10,910.9608880862895,877.8473333333334,920.4745942131264,42.62726087979297
family_size,incremental_valid,64,reference/python,10,412.62192744744686,399.93415637860085,418.28405081157376,18.349894432972917
family_size,incremental_valid,128,paper/reference,10,1.3584742767145421,1.3359221841993776,1.372461662438442,0.03653947823906445
family_size,incremental_valid,128,paper/python,10,1051.7710249100573,1024.3967113967115,1111.5751477104875,87.17843631377605
family_size,incremental_valid,128,reference/python,10,781.5659277222239,778.4111890694239,785.992,7.580810930576035
family_size,incremental_valid,256,paper/reference,10,0.8599217252627389,0.8305736241087676,0.8654969755087257,0.03492335139995817
family_size,incremental_valid,256,paper/python,10,1302.7073428571427,1280.9058823529413,1338.7831787010891,57.877296348147866
family_size,incremental_valid,256,reference/python,10,1518.8478107123428,1499.6692800458934,1537.1951809560674,37.52590091017396
family_size,incremental_valid,512,paper/reference,10,0.5697333758642524,0.5645883870061147,0.5768768910553391,0.012288504049224436
family_size,incremental_valid,512,paper/python,10,1762.669169530636,1724.9806774696463,1810.1998393726083,85.21916190296201
family_size,incremental_valid,512,reference/python,10,3104.872247849622,3047.634068965517,3137.930930221571,90.29686125605394
family_size,nested_valid,32,paper/reference,1,2.5636700473292766,2.5636700473292766,2.5636700473292766,0.0
family_size,nested_valid,32,paper/python,1,711.6493993993994,711.6493993993994,711.6493993993994,0.0
family_size,nested_valid,32,reference/python,1,277.5900900900901,277.5900900900901,277.5900900900901,0.0
family_size,nested_valid,64,paper/reference,1,1.7480041305245766,1.7480041305245766,1.7480041305245766,0.0
family_size,nested_valid,64,paper/python,1,940.4262222222222,940.4262222222222,940.4262222222222,0.0
family_size,nested_valid,64,reference/python,1,538.0,538.0,538.0,0.0
family_size,nested_valid,128,paper/reference,1,1.0993970716844867,1.0993970716844867,1.0993970716844867,0.0
family_size,nested_valid,128,paper/python,1,1124.2305561966305,1124.2305561966305,1124.2305561966305,0.0
family_size,nested_valid,128,reference/python,1,1022.5882760212324,1022.5882760212324,1022.5882760212324,0.0
family_size,nested_valid,256,paper/reference,1,0.7267981237036488,0.7267981237036488,0.7267981237036488,0.0
family_size,nested_valid,256,paper/python,1,1257.7468470301058,1257.7468470301058,1257.7468470301058,0.0
family_size,nested_valid,256,reference/python,1,1730.5312245728235,1730.5312245728235,1730.5312245728235,0.0
family_size,nested_valid,512,paper/reference,1,0.5254899059880348,0.5254899059880348,0.5254899059880348,0.0
family_size,nested_valid,512,paper/python,1,1802.3567009280512,1802.3567009280512,1802.3567009280512,0.0
family_size,nested_valid,512,reference/python,1,3429.8597944316934,3429.8597944316934,3429.8597944316934,0.0
