case_id,family,n,algorithm,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,all_correct,error_count
incremental_valid_n256_002,incremental_valid,256,python_sort,10,5104.0,5000,5208,208,5374.8,911.986452141088,True,0
incremental_valid_n256_002,incremental_valid,256,simplified_jordan_paper_ordinary_list,10,6832291.5,6790000,6877500,87500,6838674.9,52545.1061268105,True,0
incremental_valid_n256_002,incremental_valid,256,simplified_jordan_reference,10,7948854.5,7918542,7999083,80541,7957787.4,44292.06938593961,True,0
incremental_valid_n256_003,incremental_valid,256,python_sort,10,5187.5,5166,5209,43,5454.2,897.6072885424029,True,0
incremental_valid_n256_003,incremental_valid,256,simplified_jordan_paper_ordinary_list,10,6686395.5,6615625,6715084,99459,6670087.5,63790.39553664973,True,0
incremental_valid_n256_003,incremental_valid,256,simplified_jordan_reference,10,7961042.0,7934292,7978667,44375,7955921.1,29015.558697782202,True,0
incremental_valid_n256_004,incremental_valid,256,python_sort,10,5375.5,5208,5584,376,5596,750.334888196227,True,0
incremental_valid_n256_004,incremental_valid,256,simplified_jordan_paper_ordinary_list,10,6348792.0,6331000,6404750,73750,6355733.5,60601.83415128621,True,0
incremental_valid_n256_004,incremental_valid,256,simplified_jordan_reference,10,7862375.0,7840667,7879292,38625,7869083.4,52334.16630802057,True,0
incremental_valid_n256_005,incremental_valid,256,python_sort,10,4937.5,4833,5000,167,5375,1114.3952021911557,True,0
incremental_valid_n256_005,incremental_valid,256,simplified_jordan_paper_ordinary_list,10,6385750.0,6377000,6449875,72875,6415433.3,71694.95986322113,True,0
incremental_valid_n256_005,incremental_valid,256,simplified_jordan_reference,10,7810083.5,7792459,7837041,44582,7822241.6,45474.893278721516,True,0
incremental_valid_n32_001,incremental_valid,32,python_sort,10,812.5,750,834,84,796,53.54126134736337,True,0
incremental_valid_n32_001,incremental_valid,32,simplified_jordan_paper_ordinary_list,10,571645.5,564292,575708,11416,569220.8,8184.591360192232,True,0
incremental_valid_n32_001,incremental_valid,32,simplified_jordan_reference,10,184667.0,180333,185375,5042,183875,2998.577885153783,True,0
incremental_valid_n32_002,incremental_valid,32,python_sort,10,875.0,833,875,42,887.5,87.98642572073894,True,0
