case_id,family,n,execution_mode,measured_run_count,median_time_ns,q1_time_ns,q3_time_ns,iqr_time_ns,mean_time_ns,stdev_time_ns,median_over_minimal_ratio,all_correct,error_count
incremental_valid_n32_003,incremental_valid,32,counters_only,15,834750,821500,853750,32250,845202.8666666667,35012.66618742967,1.0388380445577208,True,0
incremental_valid_n32_003,incremental_valid,32,instrumented,15,911541,909584,921833,12249,918794.3333333334,21887.937887164724,1.1344036777169084,True,0
incremental_valid_n32_003,incremental_valid,32,minimal,15,803542,797666,812541,14875,809991.7333333333,27107.939323238515,1.0,True,0
incremental_valid_n32_003,incremental_valid,32,trace_only,15,896000,887417,905709,18292,897400,12434.936233968276,1.1150630583093355,True,0
incremental_valid_n64_001,incremental_valid,64,checked,15,4392250,4383708,4412709,29001,4404100.133333334,43591.371462491894,2.5906605867465053,True,0
incremental_valid_n64_001,incremental_valid,64,counters_only,15,1724709,1713083,1755125,42042,1744261.0666666667,55324.49337637337,1.0172771654407147,True,0
incremental_valid_n64_001,incremental_valid,64,instrumented,15,1905750,1901125,1920375,19250,1916799.9333333333,46427.00363007144,1.1240597445938079,True,0
incremental_valid_n64_001,incremental_valid,64,minimal,15,1695417,1678375,1728500,50125,1714072.4,52030.9148512415,1.0,True,0
incremental_valid_n64_001,incremental_valid,64,trace_only,15,1868334,1849458,1902167,52709,1870702.8666666667,38616.11083078199,1.1019908376523297,True,0
incremental_valid_n64_002,incremental_valid,64,checked,15,4077708,4059917,4143375,83458,4114833.2666666666,85516.28859585478,2.4875449138325454,True,0
incremental_valid_n64_002,incremental_valid,64,counters_only,15,1668500,1658458,1682417,23959,1675902.6666666667,27417.644964164087,1.0178435260027452,True,0
incremental_valid_n64_002,incremental_valid,64,instrumented,15,1850500,1838083,1887584,49501,1867741.7333333334,54803.03855687809,1.128869910019826,True,0
incremental_valid_n64_002,incremental_valid,64,minimal,15,1639250,1630625,1650375,19750,1647683.3333333333,36462.53516118912,1.0,True,0
incremental_valid_n64_002,incremental_valid,64,trace_only,15,1824292,1789875,1844750,54875,1820769.4,41069.37564275496,1.1128821107213664,True,0
incremental_valid_n64_003,incremental_valid,64,checked,15,4450500,4432709,4504875,72166,4470008.333333333,67408.03054179679,2.6303828875285986,True,0
incremental_valid_n64_003,incremental_valid,64,counters_only,15,1729167,1723833,1760208,36375,1744716.8,47118.37555743437,1.0219910766159228,True,0
incremental_valid_n64_003,incremental_valid,64,instrumented,15,1920584,1909667,1935875,26208,1936630.6666666667,46357.661944411964,1.1351244326842436,True,0
incremental_valid_n64_003,incremental_valid,64,minimal,15,1691959,1687500,1711292,23792,1700730.6666666667,30831.210632980958,1.0,True,0
incremental_valid_n64_003,incremental_valid,64,trace_only,15,1880458,1862000,1926584,64584,1895847.2,45637.26362180049,1.1114087279892717,True,0
nested_valid_n128_001,nested_valid,128,checked,15,3704334,3695667,3738541,42874,3720425.066666667,53828.7171929454,1.1139735136380284,True,0
nested_valid_n128_001,nested_valid,128,counters_only,15,3349250,3332792,3412750,79958,3371063.8666666667,68396.19582243556,1.0071920595043986,True,0
nested_valid_n128_001,nested_valid,128,instrumented,15,3712583,3652167,3729208,77041,3710525,72817.9856756361,1.116454166709269,True,0
nested_valid_n128_001,nested_valid,128,minimal,15,3325334,3309917,3358292,48375,3338058.4,42191.27424987981,1.0,True,0
nested_valid_n128_001,nested_valid,128,trace_only,15,3636250,3617708,3668250,50542,3652944.466666667,65062.212165266064,1.0934991793305575,True,0
nested_valid_n256_001,nested_valid,256,checked,15,9267875,9225750,9345333,119583,9269522.2,83712.29361944739,1.0901671431801174,True,0
nested_valid_n256_001,nested_valid,256,counters_only,15,8630041,8542208,8711709,169501,8844952.866666667,921992.63272838,1.0151396239696029,True,0
nested_valid_n256_001,nested_valid,256,instrumented,15,9281917,9227792,9343833,116041,9428938.8,531754.7955181975,1.091818883953977,True,0
nested_valid_n256_001,nested_valid,256,minimal,15,8501334,8446583,8590500,143917,8516152.866666667,118664.68041735241,1.0,True,0
nested_valid_n256_001,nested_valid,256,trace_only,15,9203709,9096042,9222959,126917,9188478.066666666,95089.25319964747,1.082619386557451,True,0
nested_valid_n32_001,nested_valid,32,checked,15,725959,725208,735625,10417,730258.4,10974.14715072266,1.1285061838169914,True,0
nested_valid_n32_001,nested_valid,32,counters_only,15,642750,638667,649291,10624,649980.6,26290.602437807644,0.9991574588211886,True,0
nested_valid_n32_001,nested_valid,32,instrumented,15,715959,715334,718375,3041,717047.4,5498.681189937404,1.1129611436175173,True,0
nested_valid_n32_001,nested_valid,32,minimal,15,643292,632250,651334,19084,641280.5333333333,12208.485631294481,1.0,True,0
nested_valid_n32_001,nested_valid,32,trace_only,15,706583,702416,716750,14334,713822.1333333333,20244.48608833903,1.0983861139264905,True,0
nested_valid_n64_001,nested_valid,64,checked,15,1618250,1596625,1635208,38583,1625369.6,47347.30736317385,1.1393118014608818,True,0
nested_valid_n64_001,nested_valid,64,counters_only,15,1435250,1422625,1444584,21959,1437983.2666666666,23995.738250979564,1.010472586464842,True,0
nested_valid_n64_001,nested_valid,64,instrumented,15,1593083,1588416,1604125,15709,1602291.5333333334,25313.12348189223,1.1215932412215084,True,0
nested_valid_n64_001,nested_valid,64,minimal,15,1420375,1413333,1444208,30875,1431202.8666666667,33126.55572598315,1.0,True,0
nested_valid_n64_001,nested_valid,64,trace_only,15,1565292,1560167,1576417,16250,1569999.8666666667,17650.818649030203,1.1020272815277656,True,0
